filename,width,height,size_bucket
water_body_1258.jpg,206,319,2
water_body_2501.jpg,135,178,0
water_body_116.jpg,168,167,1
water_body_8550.jpg,80,88,0
water_body_833.jpg,273,440,2
water_body_7642.jpg,151,154,1
water_body_650.jpg,1139,1202,4
water_body_1434.jpg,464,736,3
water_body_8055.jpg,343,368,3
water_body_1833.jpg,262,376,2
water_body_1116.jpg,407,884,3
water_body_8684.jpg,253,313,2
water_body_1505.jpg,147,247,1
water_body_7964.jpg,58,63,0
water_body_8253.jpg,270,277,2
water_body_8504.jpg,138,149,1
water_body_8561.jpg,2290,1680,4
water_body_8120.jpg,120,121,0
water_body_1571.jpg,2854,4160,4
water_body_8951.jpg,585,765,4
water_body_8554.jpg,108,119,0
water_body_1622.jpg,187,299,1
water_body_2521.jpg,600,813,4
water_body_1849.jpg,204,296,1
water_body_1290.jpg,244,365,2
water_body_7422.jpg,2888,842,4
water_body_2489.jpg,224,298,2
water_body_7177.jpg,4662,5189,4
water_body_688.jpg,173,284,1
water_body_7190.jpg,831,885,4
water_body_1764.jpg,493,711,3
water_body_1256.jpg,136,221,0
water_body_6378.jpg,868,1063,4
water_body_8444.jpg,213,227,2
water_body_7502.jpg,106,108,0
water_body_85.jpg,175,174,1
water_body_8019.jpg,136,149,0
water_body_916.jpg,398,652,3
water_body_7707.jpg,311,325,3
water_body_1565.jpg,1587,2387,4
water_body_8334.jpg,1228,1295,4
water_body_8409.jpg,239,254,2
water_body_1216.jpg,519,827,3
water_body_7610.jpg,222,645,2
water_body_686.jpg,250,412,2
water_body_1014.jpg,185,315,1
water_body_7344.jpg,499,519,3
water_body_8152.jpg,148,163,1
water_body_8090.jpg,119,129,0
water_body_1394.jpg,110,167,0
water_body_7241.jpg,1257,1337,4
water_body_881.jpg,607,976,4
water_body_701.jpg,309,468,3
water_body_719.jpg,657,1054,4
water_body_7224.jpg,607,631,4
water_body_1047.jpg,133,224,0
water_body_1281.jpg,184,293,1
water_body_8218.jpg,163,166,1
water_body_2472.jpg,292,366,2
water_body_7.jpg,260,261,2
water_body_7365.jpg,1721,1748,4
water_body_8800.jpg,2160,2702,4
water_body_7435.jpg,739,797,4
water_body_1406.jpg,241,380,2
water_body_7910.jpg,179,189,1
water_body_7271.jpg,477,483,3
water_body_2363.jpg,2645,1765,4
water_body_651.jpg,1083,1561,4
water_body_1279.jpg,155,247,1
water_body_1008.jpg,139,242,1
water_body_8336.jpg,223,227,2
water_body_707.jpg,649,1042,4
water_body_7352.jpg,784,826,4
water_body_7821.jpg,60,62,0
water_body_1355.jpg,595,925,4
water_body_2242.jpg,384,509,3
water_body_7888.jpg,317,325,3
water_body_7250.jpg,312,337,3
water_body_1484.jpg,380,588,3
water_body_7753.jpg,185,203,1
water_body_8394.jpg,92,97,0
water_body_7262.jpg,313,686,3
water_body_7595.jpg,161,167,1
water_body_8893.jpg,169,210,1
water_body_873.jpg,136,223,0
water_body_1792.jpg,74,110,0
water_body_8850.jpg,153,194,1
water_body_898.jpg,491,791,3
water_body_818.jpg,143,218,1
water_body_8868.jpg,128,162,0
water_body_7779.jpg,72,79,0
water_body_1469.jpg,157,270,1
water_body_2372.jpg,268,350,2
water_body_8618.jpg,313,387,3
water_body_1760.jpg,480,703,3
water_body_8677.jpg,110,131,0
water_body_8041.jpg,178,192,1
water_body_8391.jpg,301,314,2
water_body_7636.jpg,788,866,4
water_body_1421.jpg,395,595,3
water_body_1579.jpg,136,202,0
water_body_1249.jpg,259,377,2
water_body_811.jpg,205,334,1
water_body_7632.jpg,266,287,2
water_body_735.jpg,165,236,1
water_body_94.jpg,84,84,0
water_body_1369.jpg,461,628,3
water_body_8950.jpg,140,182,1
water_body_7738.jpg,230,251,2
water_body_1572.jpg,1692,2509,4
water_body_1811.jpg,171,249,1
water_body_8211.jpg,107,109,0
water_body_1649.jpg,99,117,0
water_body_8940.jpg,169,225,1
water_body_2264.jpg,502,791,3
water_body_8896.jpg,108,133,0
water_body_1774.jpg,73,106,0
water_body_7213.jpg,532,487,3
water_body_7866.jpg,139,142,1
water_body_7518.jpg,215,219,2
water_body_1223.jpg,240,391,2
water_body_7347.jpg,724,795,4
water_body_7419.jpg,1641,438,3
water_body_7184.jpg,1364,1432,4
water_body_7432.jpg,1251,1313,4
water_body_1700.jpg,308,447,2
water_body_7958.jpg,59,64,0
water_body_1243.jpg,297,452,2
water_body_717.jpg,595,557,4
water_body_8938.jpg,113,148,0
water_body_7907.jpg,285,306,2
water_body_1176.jpg,256,425,2
water_body_8271.jpg,186,189,1
water_body_8254.jpg,272,279,2
water_body_7886.jpg,720,763,4
water_body_2195.jpg,130,182,0
water_body_8281.jpg,115,127,0
water_body_8864.jpg,113,300,0
water_body_8697.jpg,386,477,3
water_body_7131.jpg,1424,1431,4
water_body_8725.jpg,2541,2919,4
water_body_1652.jpg,274,402,2
water_body_7729.jpg,325,350,3
water_body_7147.jpg,1164,1248,4
water_body_7415.jpg,461,229,2
water_body_1697.jpg,363,516,3
